0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1390,1718,1437,1906,1765,5187,3640,1640,1624,1468,1687,1500,7093,3468,3281,2015,9250,3890,1437,4312,3546,4875,14734,10390,5171,1499,85421,2640,2843,46374,5296,49281,5859,60031,629687,20500,1781
1671,1140,1890,3140,1390,5124,1375,1593,2078,1687,1703,1484,3359,4937,1750,9203,8203,4140,15062,2374,6093,9734,8031,10640,3109,3593,32015,11624,5515,6062,37796,57031,316781,1593,28546,48328,2875
1359,1593,2031,2859,1796,4812,2984,1390,1718,1484,1468,1828,1765,3671,6890,9343,9515,2484,2796,11578,2265,6328,14249,2515,4656,25078,11374,4250,2890,11859,40984,57984,36203,80515,27437,1781,2843
1500,2187,2562,2046,1734,4827,1421,1656,1453,1437,2796,1624,1812,1781,1968,9390,22703,12062,4515,4218,3375,6640,16515,8218,2906,25015,23999,166250,2609,128328,5312,49390,57421,5218,2671,31609,2015
1078,1765,1312,1671,2062,5062,2953,1468,4593,1484,1687,1499,1734,6265,2437,10812,2078,3406,4203,4624,2687,15375,3328,8250,2625,9765,2953,4359,2546,2312,41124,50468,57843,56156,622968,2796,1812
1578,1156,2156,1921,4265,4921,2968,2843,1812,1718,1484,1640,1796,2390,3906,9687,1749,5328,7390,3999,3265,5015,1468,8640,23156,10078,2984,2609,4250,2328,39843,50421,57546,57125,2671,2250,1734
1578,1609,2312,2015,1499,5249,1781,1625,1718,2109,1718,10062,1484,1781,3859,20656,3015,2109,1750,3484,2234,4937,6187,8140,2062,1875,2718,4281,2921,11640,40359,51578,69468,55890,40859,50421,1484
1359,1343,1890,3921,4874,4827,1499,2281,2984,1468,2828,1531,1718,3343,8984,9421,9703,5171,6968,3265,4499,1562,1703,8531,7546,1843,3125,4406,2547,2187,49687,50874,6140,43578,623687,48218,2093
1578,1906,1437,3125,1500,5015,3140,3078,1812,1421,1671,1765,1921,1906,3796,2374,7968,2078,13249,3999,7250,2000,29656,2592,14734,14453,70062,11359,4234,6187,2187,49671,5531,1781,27593,50593,1953
1671,1796,1281,4296,1749,4796,2953,1812,1515,1656,1453,1453,4671,1765,3562,9484,9796,2890,5140,3421,2062,1968,2078,8046,36562,1749,5625,11765,2812,4531,2093,49453,5437,39734,194296,1203,1968
1406,1906,2890,1812,1593,5093,1515,2390,5234,1500,1671,1515,8249,6531,3453,9390,1593,2859,5046,2968,3546,6828,8046,5656,2406,2859,1921,11562,4406,2312,3062,49874,5437,1781,27578,2218,1812
1218,1859,1796,2828,5078,5140,3171,1749,8000,1515,1531,1671,1656,1984,8812,9546,3640,2796,4999,1125,4109,2328,1515,5687,3015,1796,7250,11249,2531,2656,2687,49578,2874,1937,1734,48171,2484
1046,1812,2078,4765,1922,4796,2953,1625,1875,2109,1484,2187,1812,1624,8890,9484,9406,3453,5031,1359,4859,4859,11984,8296,7109,3671,2640,1703,2672,2015,2062,53328,5921,1781,16843,14281,1828
1468,1421,1968,4531,1859,5000,1890,1593,1843,1453,3015,1750,3375,1750,2453,1984,4640,3546,5203,9249,4890,4703,2390,7999,4125,31656,1953,3374,2656,1765,5499,46031,58531,1718,27953,44750,1968
1437,1593,1828,1562,1796,5296,2968,1609,1718,2140,1500,1468,1765,5109,2906,1999,11828,1796,1343,5078,5843,6734,3671,8515,2562,2062,68000,11624,4343,32281,2187,49421,58375,52390,8906,660687,141156
1328,1890,1499,2343,1718,4843,3124,2796,1875,1656,1531,1765,2000,5437,3796,2203,1765,1812,3781,4265,5718,5828,10313,5422,1984,2609,2796,4046,2828,4468,2265,49265,5640,1781,616437,44890,2015
1296,1765,1656,3312,1531,4968,2937,1640,2187,1500,1468,2906,2312,3484,5015,9546,2703,2812,10046,3234,5062,7703,4703,10578,2546,2718,2046,11265,38781,2296,2062,40921,58093,56125,622359,653812,3031
1359,1953,1406,1390,2953,5078,1718,4921,2203,1468,1468,1453,1781,2468,1749,2671,9952,2015,12078,3468,4703,5562,2406,6218,6656,9546,1468,4187,2578,37796,40328,57921,58437,1812,3187,48968,1765
1234,1437,2671,1734,4890,4843,3156,4140,2328,1453,2828,1671,2234,12499,5375,8812,9562,4703,13515,1343,4828,6906,1406,5609,5031,7281,2999,11343,4156,2140,40343,49718,57281,1609,2656,49890,10640
1624,1593,1734,1734,1812,7625,2937,2859,1765,1499,1499,1718,1718,1906,1937,9031,10062,4156,3312,4406,4765,5531,4624,5531,3187,5546,2593,4546,2687,2328,42718,49109,57687,1625,27515,48578,211453
1171,1734,1390,4718,4906,5109,3749,3703,2312,1593,1515,1468,1953,2203,3421,9077,9484,2781,2890,5124,15656,5921,2578,5500,2937,6515,13250,2890,4656,42015,3312,49890,5640,11234,43078,3671,9370
1359,1890,2031,2953,3921,5031,4859,1609,4453,1484,1453,1468,1937,1781,3468,8890,8562,2781,2390,4749,4656,4844,2421,1609,4515,3328,1828,1859,2687,6156,5093,55765,36859,1921,630875,681656,1796
3531,1453,1890,1546,2124,4749,4750,3406,1999,1687,1703,1750,1593,5140,1593,8984,2359,15687,3999,5625,2062,3093,10624,8250,3015,3546,2468,1781,2531,2312,2031,57484,5734,1781,3109,3531,1968
1531,1390,1484,1515,3000,4921,2937,2968,1437,1468,1593,1656,2718,1687,4140,9624,2046,2140,3875,4000,4781,11421,2859,1765,4796,9390,2578,2796,4390,2640,37874,49796,2812,1625,27281,44671,1718
1546,1375,2328,4687,1500,7546,5031,2984,4499,1468,1500,1687,1968,1765,1874,9359,7718,2093,2062,2515,4781,4890,6109,10249,2421,1843,3078,3984,4093,1781,3484,57468,57281,4703,1687,49703,1749
1546,1078,1765,2609,3656,4906,5046,1625,1890,1468,4171,5749,1906,2734,3812,9406,9718,4109,1890,6031,16296,5765,8421,2906,4406,31843,3078,3921,2671,2703,2234,49515,5890,2750,27109,48796,1828
1343,1484,1718,3328,4749,4890,2999,1812,5546,2359,1453,1500,1828,1968,3625,3656,7750,2859,3468,4093,4922,7578,9734,4265,6859,1828,3125,2593,2718,2687,2218,49843,61093,1578,628234,2249,4328
1531,2406,1515,1453,1906,4890,2984,1421,1843,1515,1703,1437,2890,1781,8968,1296,7828,2031,3796,3437,4828,6140,2609,8203,1562,7328,49234,13407,2687,2765,3265,50031,58953,51593,625343,50281,1734
1375,2437,1953,1733,1437,4859,4937,1812,1718,1703,1515,1703,2687,3249,3843,9281,1796,16781,3109,4140,4656,3281,4265,7921,5343,14531,2031,1812,2765,1796,6796,50375,57437,51812,5718,23359,2453
2109,1859,1500,2499,1468,4906,4843,1765,1546,1499,1453,2453,1718,1765,3651,9484,9343,2937,6703,4359,3203,2375,1687,2609,6375,2343,15609,4406,2875,7250,8390,40374,5484,1921,5749,44578,2312
1078,1703,2921,2062,5031,4874,4890,1812,10031,1687,1453,2218,3328,3468,3875,5296,3250,11062,3124,4749,6078,6031,19531,8499,1734,50593,2062,2828,4328,1421,37124,50109,58234,1781,1609,1812,2234
1375,1937,1593,2531,1359,4859,2937,1656,5078,2312,1625,1703,2687,3484,2327,9609,1968,1968,10141,3202,6359,5687,9578,2453,6187,3671,13281,9156,2562,2109,2765,50156,2140,1609,43546,44984,2734
1359,1703,1874,1671,4796,4906,5062,1609,2468,1671,1515,1531,1984,1781,2218,9343,9296,16656,4062,1203,6359,4687,9421,6328,2828,2140,26999,3406,2781,6140,2078,5703,74562,1625,9015,49906,27312
1062,1812,3015,1781,1468,4859,4890,1453,1812,1546,1484,1468,5359,2890,1218,1796,2093,5171,3109,1749,4593,2484,1578,6031,1781,3500,1859,11718,2796,5281,5609,49859,57312,2015,1781,4609,14312
1125,1718,1875,1781,5031,5109,2953,1609,1671,1515,2578,1500,1468,1578,3765,2000,1468,2125,2968,5499,3875,7859,1515,9812,6718,14812,67953,11718,4718,52687,2671,51062,28640,1796,43484,153343,1687
1546,1718,1796,2343,2734,4874,4906,1640,4046,1781,1531,1468,3203,1953,3906,9390,7859,3031,3187,4281,4734,2359,2609,6546,4390,30781,4281,4203,2921,58578,2625,49765,75031,33234,2078,1703,3656
1343,1953,2640,2953,3625,4812,5078,2562,2203,1531,2281,1484,1765,1906,1531,9265,7812,10765,15937,1968,6906,2640,10609,5703,8203,2156,6265,4421,2781,2578,2656,50531,2874,1781,43156,1625,1984
1265,1593,1515,2578,2281,4890,4874,1843,2187,1624,1546,1499,1765,2765,9500,9421,1921,2140,2984,3437,6828,10969,6421,8515,2890,3375,2593,2687,2859,8046,40421,5687,5531,55921,27828,1890,6734
1531,1748,1937,1484,1515,5109,6109,1437,5046,2109,1484,1687,1734,2671,3796,9234,10812,2046,4984,23328,4906,6468,7781,1890,4703,3500,11796,4375,2906,6250,40687,49343,36312,59984,27296,48609,3031
1031,2093,1672,1718,1531,5000,4859,1468,1781,1656,1624,1624,2593,1625,3578,9500,1953,3624,2031,3515,4921,2625,1484,10390,8281,3421,3234,4203,4296,1796,2593,50140,2031,56421,623828,44406,2156
1562,2031,1999,3062,2156,4906,5047,4000,6171,1499,1718,1687,2531,4234,1906,9328,1781,2781,3171,4875,5281,4859,6937,3203,37562,1453,2609,12078,5906,2124,40703,5843,56812,1968,43312,5343,2687
1093,1500,1484,2093,4890,4843,4859,1609,1703,1500,2999,1500,2515,2468,3546,9468,1750,15859,3359,2296,5734,5546,7531,8437,4781,6328,64609,65484,4078,2296,3499,50187,1843,13734,27265,13734,2328
1624,1750,1921,1765,2937,4906,4890,1609,1406,1687,1484,1422,8640,5093,10781,9374,1640,4999,3109,3546,3953,4968,1437,10531,6484,1578,2640,3968,2953,2125,2031,56796,58281,2812,2734,1610140,51999
1656,1093,1468,1843,1812,5140,4906,1578,1718,1453,1499,1484,1953,3812,13546,1765,10624,10265,4093,4718,6406,2062,6328,6140,4499,70406,1953,5640,4437,50328,5343,5937,36406,3421,1906,2984,2000
1718,1843,1375,1843,1406,4859,4874,1546,2453,5562,1484,1796,2531,1718,1796,9624,1953,2171,3468,4359,5203,5937,16875,2921,27609,11562,1968,11718,4187,1828,43328,49703,59030,1937,5218,48453,6353615
1296,1843,1859,2515,1406,4906,1562,3718,3999,1703,2828,1671,2328,2312,2437,16187,1921,3796,3125,4250,4781,1671,1968,6140,3546,2984,2656,3328,2671,2109,37218,5843,5250,56171,27843,49875,1843
1343,1624,1593,1453,1734,5093,1796,3625,1750,1671,1468,1515,1734,4375,1765,9312,3062,10406,2109,3515,2078,1750,3562,6328,25765,3000,4437,11953,2640,40046,2078,50015,57421,56203,27453,44390,1437
1156,2015,1453,1703,3515,4796,4859,2750,8328,1656,1468,1906,2031,5093,13218,9406,1921,1718,1781,3406,4796,5156,6359,8828,5000,1625,68249,4140,2578,6250,40265,50296,36187,1890,27828,49906,2312
1546,1265,2906,1703,4140,4906,3015,1625,1890,4140,1484,1484,8140,2281,3624,9515,10250,3578,3312,4531,2093,6703,8359,8234,36562,1812,2578,4343,2828,2296,37390,49921,57390,1750,624781,1859,1953
1078,1874,1781,2656,4968,4859,5093,1812,1937,1671,1671,3437,5187,5093,1765,2687,8140,17140,16093,4687,5749,2203,1578,8203,4468,19062,33359,11624,1765,37296,1890,49437,57640,1609,631499,2062,2765
1531,1749,1484,3187,4968,4859,4484,1578,1671,1671,2968,1484,1718,2906,3781,1765,9578,2312,3452,3499,4374,5000,4671,8250,7250,5187,2718,2015,2656,4437,40937,49421,58390,56093,16687,43953,1750
1671,1874,2140,1703,4843,4874,2359,1765,1843,1421,1468,1468,3468,1796,3828,9328,9171,1203,3375,3781,7453,5281,7953,5781,6156,2718,4312,4078,2875,2625,2140,51171,5437,1593,42999,2416406,2812
1343,109,1718,3015,5062,5187,2968,1828,1421,1468,1515,1531,3625,1921,9140,9265,14281,2234,1593,4078,8421,5171,8140,8109,4546,2578,2171,11343,2656,4437,8156,57218,35812,1796,42968,3656,24421
1390,1750,2703,1812,5031,4906,5062,1593,1937,1703,1453,1531,2328,4625,3781,9218,7968,2843,3390,2062,4624,7499,2734,7875,5234,3562,9562,2640,3984,5234,2187,49515,72218,1593,5562,44046,2781
1843,2078,2203,2921,1546,5093,1265,1578,1984,1687,1406,1453,1749,2078,2531,9406,1781,17078,3406,4937,4999,4437,7250,8203,6109,2687,4140,4859,2640,6875,42015,5921,58125,1765,1750,62828,2609
1578,1546,1749,1749,1750,4890,5093,1593,1890,2203,1703,1500,2078,4421,3843,5843,2343,4187,3015,3343,4968,4609,8203,8265,6421,1531,14952,4312,4406,2890,37203,49859,57671,2124,21093,675453,1781
1171,1812,1906,3187,4874,4843,4843,1640,3187,1437,1500,1468,1265,3468,3843,9312,9281,1953,6937,4593,2890,5390,1656,2859,2031,6843,2124,2500,2656,6203,36937,50296,36296,3796,14328,49921,3328
1109,1671,1953,3296,4953,4890,4859,1750,1734,2296,1499,1531,1797,1953,4968,4453,14078,2046,4015,4218,6046,4578,8515,6562,21296,3890,1828,2718,2953,2093,2609,49406,57109,81062,1953,50203,1093
1609,2265,2296,1734,6031,5046,3562,1500,1906,1546,1484,1937,2328,2171,1937,9499,1672,2812,3500,3421,3093,6812,6421,7953,6156,13859,3890,150343,4203,2687,2687,5718,57781,2000,2796,672952,2218
1109,1671,1796,2453,3375,4859,4843,1421,5890,3546,1453,1328,2874,1765,1515,9671,7812,2218,3265,6359,5765,2843,3624,10296,3937,14765,3843,2906,8796,7859,2203,50796,1765,1796,27328,10953,2890
1062,1562,1843,1796,1453,4859,3171,2220,2000,1562,1453,1453,2374,5156,3703,9531,1718,16859,15281,1140,2077,3031,8234,7906,6671,2593,2187,5125,2578,2687,40078,5859,89125,1937,1796,24609,1781
1593,1781,1484,1390,3062,5078,3546,2109,4031,1515,1468,1515,1937,1796,5109,11515,1999,13999,4968,3281,5046,4765,1562,2437,2890,3234,3328,2828,2562,1953,2906,49999,35999,56515,1624,6453,2797
1031,1390,1859,3062,1625,4953,2906,1609,1656,2125,1437,1625,2484,3640,3484,1781,9625,1812,3312,3171,5812,6671,4734,8203,5765,1796,2546,11265,6093,11781,2203,50218,5359,56468,626234,48593,2265
1062,1968,1812,2437,2999,4953,4828,1734,2296,1484,1468,1484,2000,2468,1734,9124,1640,4187,1562,4531,4921,31890,1437,8453,2703,2124,7875,12343,4140,2546,2062,2921,2968,2046,1796,49906,2234
1406,1671,4421,4249,2531,4921,4921,1796,1765,3062,1671,1656,4218,3437,1812,9218,3015,2640,13843,1812,4062,2171,1562,7953,4874,2906,4468,11671,4328,42640,56671,5906,35828,1999,628906,50312,111031
1468,1968,1453,1703,3109,5046,1531,2249,5203,1703,1468,2437,8718,3515,5015,9078,2859,17031,5031,3296,6874,6859,1546,1562,2187,7359,1953,2968,2531,2703,1921,50484,1734,1796,626609,1781,2687
1328,1968,2062,2453,4921,5046,4578,2390,1718,1703,2796,1890,2828,1796,8859,9453,1749,16734,7437,4734,6062,3359,5156,8406,4640,3624,68375,2734,2750,428406,2640,57484,57328,1625,22609,2390,1781
1875,1765,1406,1468,2703,5062,3140,1625,1906,2218,1484,1687,1921,5015,3515,9125,1921,2656,2531,4031,4109,2609,3984,1374,6468,2046,4499,11687,5718,2765,44468,49921,5390,55499,5750,1984,11687
1187,1953,1875,2937,2796,4921,1421,1593,1499,2343,1468,2265,2499,1781,3562,1812,8046,12687,3328,3484,2062,2203,1718,1609,11468,1750,3078,11781,2546,7031,2015,49968,56484,1781,1765,50374,2718
1312,1499,1437,1765,2468,4859,4890,1593,1859,1968,1531,1687,1937,2749,2890,9359,4687,3593,3093,1828,4843,6453,7499,10359,8859,32562,6968,4156,4218,42843,23812,5718,57249,56593,1562,49406,1953
1328,1859,1484,1499,1968,4937,4875,1640,1875,2343,1437,1484,1984,3531,3874,2422,7999,1593,1781,3312,6328,6187,1593,10468,6921,1593,3390,5015,4093,2703,40218,49406,42328,1718,5531,3906,1953
1046,1437,1999,8906,5687,4859,5046,1453,2656,1890,1437,1484,1953,7781,3609,9406,2109,2874,2953,4124,4406,6656,7999,7906,2500,3500,3484,2546,20843,6109,2187,49765,36640,1578,13453,1749,1859
1359,1921,1671,2421,5062,5031,4828,1578,5109,1468,1671,2046,1781,1765,8953,9437,9843,2156,4984,3640,5500,6562,1890,8125,2609,2609,3765,11718,2562,11734,2203,49562,58140,1624,27406,2812,2109
1328,1734,1921,4765,2109,5046,4874,1578,9734,2140,2859,1437,1250,1734,3515,9515,1781,3156,3171,3531,3812,2171,6515,6359,5031,29421,2109,11703,4156,6125,5281,49937,2843,1781,3843,667734,46265
1062,1671,1671,2609,3578,4875,5937,1984,1531,2312,1500,1656,1796,5140,3671,9343,1796,2000,3046,4578,2093,2281,3625,8046,11734,6109,27499,2578,1531,1953,3390,50249,36312,56437,613765,48188,5171
1062,1499,1828,2875,5000,4843,2874,1828,4781,2359,1421,1468,1828,1781,4046,9453,1531,1906,1265,4703,3906,6124,16796,10343,9593,2640,1890,11234,2859,43140,40406,57484,2203,2609,626562,2328,2078
1328,1625,1531,3078,3546,4765,4937,1781,1750,1671,1687,1671,8203,3484,5062,9343,3734,3046,1984,4249,7281,5140,16906,2406,2937,5515,1843,2890,4109,1890,2203,49657,56937,1640,15125,39531,2656
1343,2062,1687,1718,4999,5265,5062,1562,1953,1515,1640,1687,1734,1984,9234,9218,7937,2859,3609,4734,6906,2015,7500,5531,6484,4093,6609,4406,4156,2609,5422,49843,36171,1765,627828,44890,1796
1343,1406,1765,2218,1625,5046,5265,1624,2093,2249,1500,1468,1859,1749,3625,9187,5687,2328,3265,3390,4953,4921,1453,9187,2671,3031,5281,4828,2640,11593,40546,49937,76968,1593,2656,49781,7625
1359,1921,1750,3187,3437,5078,4812,1624,2234,1625,1515,1656,2796,3781,1953,9656,1953,1765,2906,3921,4499,2921,1656,10796,1781,5500,6531,47734,2906,43078,2078,49468,57546,1781,1765,1999,106000
1359,1578,1874,1531,1531,5125,4796,2828,3375,1671,2499,1531,1984,1734,5468,9390,11328,1515,2953,4031,6453,6062,8187,7859,13562,2718,1843,11765,2593,2500,40218,49687,54156,1796,27812,631468,4374
1390,1796,1828,2625,1265,4906,4796,1734,3406,1515,1484,1687,1953,5422,1406,9140,3859,2828,5046,4906,5359,4671,3156,7921,6000,2812,5984,9171,2671,2171,2031,5874,35859,39499,46718,58593,2390
1359,1609,1875,1656,3234,4781,4015,1796,1968,1484,1703,1515,1718,3671,3937,9468,1968,2796,2421,3281,2046,2124,1593,8359,20406,1796,1531,4499,2593,1812,3249,49703,57390,2812,5781,643218,2500
1046,1765,1531,2609,5140,4859,2781,1640,2625,1671,1640,2250,1734,1781,3765,9281,9656,5078,10265,4093,5812,2374,1406,5687,15921,32531,3218,11281,2578,6140,1984,49765,56781,56265,27687,2828,3671
1343,1609,1500,2921,3000,4906,4921,4546,1687,2406,1453,1499,12171,2640,3640,9234,25437,10406,3203,3421,3546,6234,4328,2546,4859,26140,5203,11734,4156,5890,40203,49765,57031,1812,631093,48437,8218
1031,1343,1453,2468,3343,4843,2999,2499,3187,2156,1499,1468,1984,3578,8703,9437,9781,3999,2890,3453,4609,4874,1500,6406,2031,24234,1796,11656,1796,4171,58203,49875,3093,56796,25250,6140,1718
1343,1953,4687,1499,2062,4843,4874,3984,1734,1453,1703,1703,5562,6203,1953,9375,1968,3031,5218,1421,4812,9656,4562,8203,2718,8484,9703,11343,2875,6234,40234,49312,5468,56109,15031,671937,2843
1343,1156,1671,3031,3000,5125,5015,1609,2031,1468,1531,1656,1953,1750,1953,9406,3718,4140,1406,2828,9218,1781,8296,3156,9328,6093,13468,11374,2718,2937,30843,50187,1937,1781,3765,45156,3578
1390,2750,1874,3203,4890,4874,4906,1578,1734,1734,1484,1468,1750,1781,4109,9250,9624,4609,1749,3453,4874,7671,8203,2187,1781,2609,1249,11281,5562,11468,5125,44921,1984,1734,43265,51203,2718
1406,1609,2609,1843,4906,4828,5031,1640,1671,2062,1640,1687,4046,1734,3718,9500,2796,16968,5343,3015,3859,3453,1390,1718,5218,2874,2406,4218,4390,26062,5968,50562,75687,1609,2781,50531,1687
1078,1859,2546,2968,1906,4859,4890,27656,1671,1484,1499,1671,4109,5093,1312,9359,8062,7859,6812,5500,4796,6796,1906,10484,1999,3140,2125,4859,2859,8046,40374,49796,76531,80484,2734,2234,27890
1406,1484,1578,4109,4843,4921,5218,1625,1406,2703,1640,1515,3734,1921,5156,1828,7921,10093,2109,3531,4906,4968,1500,6906,3453,17999,2843,11718,2781,5484,44281,5703,35765,1812,8078,659656,1984
1406,1468,3390,1999,4843,4875,5015,2499,3640,1468,2468,1609,2296,1999,3968,3093,8124,2624,1859,1718,3921,6468,10468,8109,2687,2734,2562,2640,2703,6093,37203,44140,5437,1968,2078,683234,2640
1515,1390,1797,1984,5078,4781,5062,4234,1984,1656,3046,1593,1937,1750,3390,9265,9281,2593,3109,3015,6546,2218,14328,8218,3031,2890,1828,2625,4359,9078,12968,49484,57250,3828,22218,2796,3062
1312,1578,1859,2718,4765,4843,4999,1749,1781,2312,2453,1734,2281,7015,8718,9312,7859,2859,14640,4265,4812,9609,14406,7578,3859,1765,3656,2562,4468,1781,40468,40437,35765,1999,42890,667734,2250
1328,1921,1671,4234,5046,4968,3171,1593,3062,1656,1640,1656,3250,4828,3718,9281,1781,1796,5156,4015,5578,6843,2484,8203,28921,3172,68640,9640,5609,8750,2234,49515,2765,1562,2390,118171,1843
1312,1937,1437,2921,1781,5031,1765,4875,3796,1468,1468,2328,1718,3296,3937,9703,1765,14109,3406,4296,4671,6296,8078,8562,5781,3406,2640,11671,2546,11281,15249,5890,35875,1765,42687,669733,150671
1359,1968,2890,2999,3250,5109,4718,1593,1734,1640,1484,1437,1921,5093,3875,1968,1937,9749,3328,5843,3125,19562,9343,5453,2890,1921,1828,2828,2859,2265,7124,49187,57609,56000,1765,2703,2000
1375,1265,1859,1781,5031,4843,3140,1796,1562,1625,1437,1453,1734,1843,8937,11828,9515,2281,22624,4984,6656,2703,5343,2890,28843,2718,33093,2703,5374,9859,2187,49156,56890,1984,22406,1890,1796
1375,1859,1531,3234,4843,4984,2250,2828,1499,1499,1499,1453,2062,3656,3609,1750,9796,4296,4093,4249,6625,5328,14437,1984,2572,3562,1265,11687,1796,2828,3375,5687,74812,56812,42640,2281,1703
1343,1734,1125,3124,5015,4796,3828,1796,1718,1546,1453,1453,1781,5421,12421,9296,2640,2000,4890,4265,4640,7671,3796,49718,8281,10999,1765,4453,2578,9500,1984,40374,53109,1937,27875,44187,2249
1046,2187,2281,2593,4921,4796,3031,1640,2249,1484,1468,2218,1531,5468,2781,2390,2031,2859,32078,4500,4703,4812,1625,9703,6078,1843,9468,11203,4156,29953,2218,5703,58187,1765,627750,668874,2968
1343,1609,2515,1906,4937,5046,1750,1640,1656,1437,2999,1468,1234,4953,3890,1984,1796,3015,1593,4343,5828,2046,1578,1968,4203,2531,24843,2688,2859,1781,3031,49500,5343,1812,27296,49046,2765
